"group","result"
"control","yawn"
"control","yawn"
"control","yawn"
"control","yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"control","not yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
"treatment","not yawn"
